iter	Passed	Remaining
169	226	1108
170	227	1102
171	228	1098
172	228	1093
173	229	1087
174	229	1082
175	230	1077
176	230	1072
177	231	1067
178	231	1063
179	232	1058
180	232	1053
181	233	1048
182	233	1043
183	234	1039
184	234	1034
185	235	1030
186	236	1026
187	236	1022
188	237	1018
189	237	1013
190	238	1009
191	238	1005
192	239	1000
193	239	996
194	240	993
195	241	989
196	241	985
197	242	981
198	242	977
199	243	973
200	243	969
201	244	965
202	244	961
203	245	957
204	245	953
205	246	949
206	247	946
207	247	943
208	248	939
209	248	935
210	249	931
211	249	928
212	250	924
213	250	921
214	251	917
215	251	913
216	252	910
217	252	906
218	253	903
219	253	900
220	254	896
221	255	893
222	255	890
223	256	887
224	256	884
225	257	881
226	257	877
227	258	874
228	258	871
229	259	868
230	259	864
231	260	861
232	260	858
233	261	855
234	261	852
235	262	849
236	262	846
237	263	843
238	263	840
239	264	837
240	264	834
241	265	831
242	266	828
243	266	825
244	267	823
245	267	820
246	268	817
247	268	814
248	269	812
249	269	809
250	270	806
251	270	803
252	271	801
253	271	798
254	272	795
255	272	793
256	273	790
257	273	787
258	274	785
259	274	782
260	275	780
261	275	777
262	276	774
263	277	772
264	277	769
265	277	766
266	278	764
267	279	762
268	279	759
269	280	757
270	280	754
271	280	751
272	281	749
273	281	746
274	282	744
275	282	742
276	283	739
277	283	737
278	284	734
279	284	732
280	285	730
281	286	728
282	286	725
283	287	723
284	287	721
285	288	719
286	288	716
287	289	714
288	289	712
289	290	710
290	290	707
291	291	705
292	291	703
293	292	701
294	292	699
295	293	697
296	293	695
297	294	693
298	294	690
299	295	688
300	295	686
301	295	683
302	296	681
303	296	679
304	297	677
305	297	675
306	298	673
307	298	671
308	299	669
309	299	667
310	300	665
311	300	663
312	301	661
313	302	659
314	302	658
315	303	656
316	303	654
317	304	652
318	304	650
319	305	648
320	305	646
321	306	644
322	306	642
323	307	640
324	307	638
325	308	636
326	308	634
327	309	633
328	309	631
329	310	629
330	310	627
331	311	625
332	311	624
333	311	622
334	312	620
335	312	618
336	313	616
337	313	614
338	314	613
339	314	611
340	315	609
341	315	607
342	316	605
343	316	604
344	317	602
345	317	600
346	318	599
347	318	597
348	319	595
349	319	593
350	320	592
351	320	590
352	321	588
353	321	586
354	321	584
355	322	583
356	322	581
357	323	579
358	323	578
359	324	576
360	324	574
361	325	573
362	325	571
363	326	570
364	326	568
365	327	566
366	327	565
367	328	563
368	328	562
369	329	560
370	329	559
371	330	557
372	331	556
373	331	555
374	332	553
375	332	552
376	333	550
377	333	549
378	334	547
379	334	546
380	335	544
381	335	543
382	336	541
383	336	540
384	337	538
385	337	537
386	338	535
387	338	534
388	339	532
389	339	531
390	340	529
391	340	528
392	340	526
393	341	525
394	341	523
395	342	522
396	342	520
397	343	519
398	343	517
399	344	516
400	344	514
401	345	513
402	345	511
403	346	510
404	346	509
405	347	507
406	347	506
407	347	504
408	348	503
409	349	502
410	349	500
411	350	499
412	350	498
413	351	496
414	351	495
415	352	494
416	352	492
417	353	491
418	353	490
419	353	488
420	354	487
421	355	486
422	355	485
423	356	483
424	356	482
425	357	481
426	357	479
427	357	478
428	358	477
429	358	475
430	359	474
431	359	473
432	360	471
433	360	470
434	361	469
435	361	468
436	362	467
437	363	465
438	363	464
439	364	463
440	364	462
441	365	461
442	365	459
443	366	458
444	366	457
445	367	456
446	367	454
447	368	453
448	368	452
449	369	451
450	369	450
451	370	448
452	370	447
453	371	446
454	371	445
455	372	444
456	372	442
457	373	441
458	373	440
459	373	438
460	374	437
461	374	436
462	375	435
463	375	434
464	376	433
465	376	431
466	377	430
467	377	429
468	378	428
469	378	427
470	379	426
471	379	424
472	380	423
473	380	422
474	381	421
475	381	420
476	382	419
477	382	417
478	383	416
479	383	415
480	384	414
481	384	413
482	385	412
483	385	411
484	386	410
485	386	408
486	387	407
487	387	406
488	388	405
489	388	404
490	388	403
491	389	402
492	389	401
493	390	399
494	390	398
495	391	397
496	391	396
497	392	395
498	392	394
